Handle	Title	Body (HTML)	Vendor	Product Category	Type	Tags	Published	Option1 Name	Option1 Value	Option1 Linked To	Option2 Name	Option2 Value	Option2 Linked To	Option3 Name	Option3 Value	Option3 Linked To	Variant SKU	Variant Grams	Variant Inventory Tracker	Variant Inventory Qty	Variant Inventory Policy	Variant Fulfillment Service	Variant Price	Variant Compare At Price	Variant Requires Shipping	Variant Taxable	Variant Barcode	Image Src	Image Position	Image Alt Text	Gift Card	SEO Title	SEO Description	Google Shopping / Google Product Category	Google Shopping / Gender	Google Shopping / Age Group	Google Shopping / MPN	Google Shopping / Condition	Google Shopping / Custom Product	Google Shopping / Custom Label 0	Google Shopping / Custom Label 1	Google Shopping / Custom Label 2	Google Shopping / Custom Label 3	Google Shopping / Custom Label 4	Age (product.metafields.custom.age)	Dressing (product.metafields.custom.dressing)	Genre (product.metafields.custom.genre)	Marque (product.metafields.custom.marque)	Saison (product.metafields.custom.saison)	Sous Titre (product.metafields.custom.sous_titre)	[Details] Coloris (product.metafields.custom._details_coloris)	[Details] Matières (product.metafields.custom._details_mati_res)	[Details] Taille (product.metafields.custom._details_taille)	[Details] État (product.metafields.custom._details_tat)	[Details] Unique (product.metafields.custom._details_unique)	Google: Custom Product (product.metafields.mm-google-shopping.custom_product)	Nombre d'évaluations de produit (product.metafields.reviews.rating_count)	Produits complémentaires (product.metafields.shopify--discovery--product_recommendation.complementary_products)	Produits associés (product.metafields.shopify--discovery--product_recommendation.related_products)	Paramètres de produits associés (product.metafields.shopify--discovery--product_recommendation.related_products_display)	Boosts de recherche de produits (product.metafields.shopify--discovery--product_search_boost.queries)	Variant Image	Variant Weight Unit	Variant Tax Code	Cost per item	Included / France	Price / France	Compare At Price / France	Included / European Union	Price / European Union	Compare At Price / European Union	Included / International	Price / International	Compare At Price / International	Status
sous-pull-animaux-107895	Sous-pull Animaux	Col roulé, 3 écussons brodés, revers aux poignets.	Sergent Major			Tee-shirt / Polo, 10 ans, Garçon, Tee-shirt / Polo 10 ans	TRUE										2356-107895-X633	0	shopify	1	deny	manual	5,5	5,5	TRUE	FALSE		IMG_00003137.jpg ; IMG_00003138.jpg	1	Tee-shirt / Polo, 10 ans, Garçon, Tee-shirt / Polo 10 ans	FALSE	Sous-pull Animaux de seconde main pour enfants	Col roulé, 3 écussons brodés, revers aux poignets.												10 ans	Tee-shirt / Polo	Garçon	Sergent Major	Hiver	Sous-pull "Animaux" Sergent Major Garçon 10 ans	Bleu marine et bordeaux	Non connue	10 ans	Bon Etat	Chaque vêtement de seconde main est sélectionné avec soin								kg		0,522	TRUE			TRUE			TRUE			draft
pull-chine-107896	Pull chiné	Col châle, poignets et taille resserrés.	Vertbaudet			Pull / Gilet / Sweat, 10 ans, Garçon, Pull / Gilet / Sweat 10 ans	TRUE										1941-107896-X633	0	shopify	1	deny	manual	8,5	8,5	TRUE	FALSE		IMG_00003119.jpg ; IMG_00003120.jpg	1	Pull / Gilet / Sweat, 10 ans, Garçon, Pull / Gilet / Sweat 10 ans	FALSE	Pull chiné d’occasion pour enfants	Col châle, poignets et taille resserrés.												10 ans	Pull / Gilet / Sweat	Garçon	Vertbaudet	Hiver	Pull chiné Vertbaudet Garçon 10 ans	Bleu marine et gris	60% coton, 40% acrylique	10 ans	Impeccable	Chaque vêtement de seconde main est sélectionné avec soin								kg		1,566	TRUE			TRUE			TRUE			draft
sweat-zippe-107897	Sweat zippé	Zippé, finement molletonné, poignets et taille resserrés, 2 poches.	Sergent Major			Pull / Gilet / Sweat, 11 ans, Garçon, Pull / Gilet / Sweat 11 ans	TRUE										1941-107897-X633	0	shopify	1	deny	manual	8,5	8,5	TRUE	FALSE		IMG_00003115.jpg ; IMG_00003116.jpg	1	Pull / Gilet / Sweat, 11 ans, Garçon, Pull / Gilet / Sweat 11 ans	FALSE	Sweat zippé d’occasion pour enfants	Zippé, finement molletonné, poignets et taille resserrés, 2 poches.												11 ans	Pull / Gilet / Sweat	Garçon	Sergent Major	Hiver	Sweat zippé Sergent Major Garçon 11 ans	Gris	64% coton, 30% polyester, 5% viscose	11 ans	Impeccable	Chaque vêtement de seconde main est sélectionné avec soin								kg		1,566	TRUE			TRUE			TRUE			draft
sweat-zippe-107898	Sweat zippé	Zippé, capuche doublée, 2 poches en L, bien chaud.	DPAM			Pull / Gilet / Sweat, 10 ans, Garçon, Pull / Gilet / Sweat 10 ans	TRUE										1941-107898-X633	0	shopify	1	deny	manual	8,5	8,5	TRUE	FALSE		IMG_00003143.jpg ; IMG_00003144.jpg	1	Pull / Gilet / Sweat, 10 ans, Garçon, Pull / Gilet / Sweat 10 ans	FALSE	Sweat zippé de seconde main pour enfants	Zippé, capuche doublée, 2 poches en L, bien chaud.												10 ans	Pull / Gilet / Sweat	Garçon	DPAM	Hiver	Sweat zippé DPAM Garçon 10 ans	Turquoise	100% polyester	10 ans	Impeccable	Chaque vêtement de seconde main est sélectionné avec soin								kg		1,566	TRUE			TRUE			TRUE			draft
combinaison-courte-107899	Combinaison courte	Fermeture éclair dans le dos, élastique à la taille, cuisse en broderie anglaise doublée.	Tape à l'Œil			Barboteuse, 8 ans, Fille, Barboteuse 8 ans	TRUE										2354-107899-S1510	0	shopify	1	deny	manual	6,5	6,5	TRUE	FALSE		IMG_00003252.jpg ; IMG_00003255.jpg	1	Barboteuse, 8 ans, Fille, Barboteuse 8 ans	FALSE	Combinaison courte de seconde main pour enfants	Fermeture éclair dans le dos, élastique à la taille, cuisse en broderie anglaise doublée.												8 ans	Barboteuse	Fille	Tape à l'Œil	Eté	Combinaison courte Tape à l'Œil Fille 8 ans	Vert	100% coton	8 ans	Impeccable	Chaque vêtement de seconde main est sélectionné avec soin								kg		0,94	TRUE			TRUE			TRUE			draft
robe-fleurie-en-lin-107900	Robe fleurie en lin	Fines bretelles, boutonnée dans le cou, comme neuve.	Zara			Robe / Jupe, 7 ans, Fille, Robe / Jupe 7 ans	TRUE										2354-107900-S1510	0	shopify	1	deny	manual	7,5	7,5	TRUE	FALSE		IMG_00003293.jpg ; IMG_00003296.jpg	1	Robe / Jupe, 7 ans, Fille, Robe / Jupe 7 ans	FALSE	Robe fleurie en lin ecoresponsable pour enfants	Fines bretelles, boutonnée dans le cou, comme neuve.												7 ans	Robe / Jupe	Fille	Zara	Eté	Robe fleurie en lin Zara Fille 7 ans	Rose, jaune, orange et vert	52% lin, 48% coton	7 ans	Impeccable	Chaque vêtement de seconde main est sélectionné avec soin								kg		1,42	TRUE			TRUE			TRUE			draft
robe-de-plage-radis-107901	Robe de plage Radis	Boutonnée dans le cou, élastique et nœud décoratif à la taille, sérigraphie.	Catimini			Robe / Jupe, 8 ans, Fille, Robe / Jupe 8 ans	TRUE										2354-107901-S1510	0	shopify	1	deny	manual	15	15	TRUE	FALSE		IMG_00003289.jpg ; IMG_00003292.jpg	1	Robe / Jupe, 8 ans, Fille, Robe / Jupe 8 ans	FALSE	Robe de plage Radis d’occasion pour enfants	Boutonnée dans le cou, élastique et nœud décoratif à la taille, sérigraphie.												8 ans	Robe / Jupe	Fille	Catimini	Eté	Robe de plage "Radis" Catimini Fille 8 ans	Blanc, bleu marine et or	100% coton	8 ans	Impeccable	Chaque vêtement de seconde main est sélectionné avec soin								kg		4,2	TRUE			TRUE			TRUE			draft
tee-shirt-manches-cropped-107902	Tee-shirt manches cropped	Logo sérigraphié.	Nike			Tee-shirt / Polo, 10 ans, Fille, Tee-shirt / Polo 10 ans	TRUE										2354-107902-S1510	0	shopify	1	deny	manual	8	8	TRUE	FALSE		IMG_00003285.jpg ; IMG_00003288.jpg	1	Tee-shirt / Polo, 10 ans, Fille, Tee-shirt / Polo 10 ans	FALSE	Tee-shirt manches cropped économique pour enfants	Logo sérigraphié.												10 ans	Tee-shirt / Polo	Fille	Nike	Eté	Tee-shirt manches cropped Nike Fille 10 ans	Bleu marine et marron	100% coton	10 ans	Impeccable	Chaque vêtement de seconde main est sélectionné avec soin								kg		1,29	TRUE			TRUE			TRUE			draft
robe-a-bretelles-107903	Robe à bretelles	Fines bretelles, boutonnée dans le cou, élastique à la taille, coupe évasée.	Okaïdi			Robe / Jupe, 8 ans, Fille, Robe / Jupe 8 ans	TRUE										2354-107903-S1510	0	shopify	1	deny	manual	7,5	7,5	TRUE	FALSE		IMG_00003282.jpg ; IMG_00003284.jpg	1	Robe / Jupe, 8 ans, Fille, Robe / Jupe 8 ans	FALSE	Robe à bretelles de seconde main pour enfants	Fines bretelles, boutonnée dans le cou, élastique à la taille, coupe évasée.												8 ans	Robe / Jupe	Fille	Okaïdi	Eté	Robe à bretelles Okaïdi Fille 8 ans	Fuchsia	100% coton	8 ans	Impeccable	Chaque vêtement de seconde main est sélectionné avec soin								kg		1,7	TRUE			TRUE			TRUE			draft
robe-gaufree-107904	Robe gaufrée	Fines bretelles réglables, gaufrée.	Tape à l'Œil			Robe / Jupe, 8 ans, Fille, Robe / Jupe 8 ans	TRUE										2354-107904-S1510	0	shopify	1	deny	manual	7,5	7,5	TRUE	FALSE		IMG_00003278.jpg ; IMG_00003279.jpg	1	Robe / Jupe, 8 ans, Fille, Robe / Jupe 8 ans	FALSE	Robe gaufrée d’occasion pour enfants	Fines bretelles réglables, gaufrée.												8 ans	Robe / Jupe	Fille	Tape à l'Œil	Eté	Robe gaufrée Tape à l'Œil Fille 8 ans	Rose, noir et blanc	100% coton	8 ans	Impeccable	Chaque vêtement de seconde main est sélectionné avec soin								kg		1,7	TRUE			TRUE			TRUE			draft
